,DOI,abbrev,auths,titl,yr
19148,pone.0231155.ref024,EK Seltzer (2017),EK Seltzer,Public sentiment and discourse about Zika virus on Instagram,2017
19149,pone.0231155.ref025,SA Strathdee (2019),SA Strathdee,Harnessing digital data and data science to achieve 90-90-90 goals to end the HIV epidemic,2019
19150,pone.0231155.ref026,ML McLaughlin (2016),ML McLaughlin,Propagation of Information About Preexposure Prophylaxis (PrEP) for HIV Prevention Through Twitter,2016
19151,pone.0231155.ref027,SS Bull (2012),SS Bull,Social media-delivered sexual health intervention: a cluster randomized controlled trial,2012
19152,pone.0231155.ref028,unparseable (1900),unparseable,unparseable,1900
19153,pone.0231155.ref029,unparseable (1900),unparseable,unparseable,1900
19154,pone.0231155.ref030,GA Millett (2006),GA Millett,Greater risk for HIV infection of black men who have sex with men: a critical literature review,2006
19155,pone.0231155.ref031,VA Earnshaw (2013),VA Earnshaw,Stigma and racial/ethnic HIV disparities: moving toward resilience,2013
19156,pone.0231155.ref032,M Morris (2009),M Morris,Concurrent partnerships and HIV prevalence disparities by race: linking science and public health practice,2009
19157,pone.0231155.ref033,L McDonald (2019),L McDonald,Real-world data and the patient perspective: the PROmise of social media?,2019
19158,pone.0231155.ref034,J Buolamwini (2018),J Buolamwini,Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification,2018
19159,pone.0231155.ref035,unparseable (1900),unparseable,unparseable,1900
19160,pone.0231155.ref036,unparseable (1900),unparseable,unparseable,1900
19161,pone.0231155.ref037,unparseable (1900),unparseable,unparseable,1900
19162,pone.0231155.ref038,S Bakhshi (2014),S Bakhshi,"{'key': 'pone.0231155.ref038', 'author': 'S Bakhshi', 'first-page': '965', 'year': '2014', 'volume-title': 'Proceedings of the SIGCHI Conference on Human Factors in Computing Systems'}",2014
19163,pone.0231155.ref039,Z Liu (2015),Z Liu,Deep Learning Face Attributes in the Wild,2015
19164,pone.0231155.ref040,A Chakraborty (2017),A Chakraborty,Who Makes Trends? Understanding Demographic Biases in Crowdsourced Recommendations,2017
19165,pone.0231155.ref041,F Zeng (2009),F Zeng,Social Factors in User Perceptions and Responses to Advertising in Online Social Networking Communities,2009
19166,pone.0231155.ref042,S-C Chu (2011),S-C Chu,Determinants of consumer engagement in electronic word-of-mouth (eWOM) in social networking sites,2011
19167,pone.0231155.ref043,SM Noar (2009),SM Noar,The Role of Message Tailoring in the Development of Persuasive Health Communication Messages,2009
19168,pone.0231155.ref044,JL Fraze (2009),JL Fraze,Applying core principles to the design and evaluation of the “Take Charge. Take the Test” campaign: what worked and lessons learned,2009
19169,pone.0231155.ref045,NH O’Donnell (2017),NH O’Donnell,Photo-sharing social media for eHealth: analysing perceived message effectiveness of sexual health information on Instagram,2017
19170,pone.0231155.ref046,S Perez (2018),S Perez,"{'key': 'pone.0231155.ref046', 'author': 'S Perez', 'year': '2018', 'volume-title': 'TechCrunch'}",2018
19171,pone.0231155.ref047,SD Young (2013),SD Young,A Social Media-Based HIV Prevention Intervention Using Peer Leaders,2013
19172,pone.0231155.ref048,K Saha (2019),K Saha,A computational study of mental health awareness campaigns on social media,2019
19173,pone.0231155.ref049,TL Caputi (2019),TL Caputi,"Internet Searches for Sexual Harassment and Assault, Reporting, and Training Since the #MeToo Movement",2019
19174,pone.0231155.ref050,JW Ayers (2019),JW Ayers,Media Trends for the Substance Abuse and Mental Health Services Administration 800-662-HELP Addiction Treatment Referral Services After a Celebrity Overdose,2019
19175,pone.0231155.ref051,AL Nobles (2019),AL Nobles,Requests for Diagnoses of Sexually Transmitted Diseases on a Social Media Platform,2019
19176,pone.0231155.ref052,J-P Allem (2017),J-P Allem,The Charlie Sheen Effect on Rapid In-home Human Immunodeficiency Virus Test Sales,2017
19177,pone.0231155.ref053,SD Young (2014),SD Young,Methods of using real-time social media technologies for detection and remote monitoring of HIV outcomes,2014
19178,pone.0231155.ref054,JW Ayers (2016),JW Ayers,News and Internet Searches About Human Immunodeficiency Virus After Charlie Sheen’s Disclosure,2016
19179,pone.0231155.ref055,K-H Chu (2016),K-H Chu,"Vaping on Instagram: cloud chasing, hand checks and product placement",2016
19180,pone.0231155.ref056,SM Noar (2018),SM Noar,Can a selfie promote public engagement with skin cancer?,2018
19181,10.3390/ijerph17103437,Simsek M & Kantarci (2020),"Simsek M., Kantarci B.",Artificial intelligence-empowered mobilization of assessments in COVID-19-like pandemics: A case study for early flattening of the curve,2020
19182,ref1,unknown9130 (1900),unknown9130,"{'key': 'ref1', 'DOI': '10.1016/j.ijantimicag.2020.105951', 'doi-asserted-by': 'publisher'}",1900
19183,ref2,unknown9131 (1900),unknown9131,"{'key': 'ref2', 'DOI': '10.1016/j.ijid.2020.03.031', 'doi-asserted-by': 'publisher'}",1900
19184,ref3,unknown9132 (1900),unknown9132,"{'key': 'ref3', 'DOI': '10.1016/j.cjca.2020.03.027', 'doi-asserted-by': 'publisher'}",1900
19185,ref4,unknown9133 (1900),unknown9133,"{'key': 'ref4', 'DOI': '10.1016/j.sste.2019.100285', 'doi-asserted-by': 'publisher'}",1900
19186,ref5,unknown9134 (1900),unknown9134,"{'key': 'ref5', 'DOI': '10.1016/j.tre.2020.101922', 'doi-asserted-by': 'publisher'}",1900
19187,ref6,unknown9135 (1900),unknown9135,"{'key': 'ref6', 'DOI': '10.1016/j.jtbi.2019.05.003', 'doi-asserted-by': 'publisher'}",1900
19188,ref7,unknown9136 (1900),unknown9136,"{'key': 'ref7', 'DOI': '10.1016/j.jmii.2020.03.008', 'doi-asserted-by': 'publisher'}",1900
19189,ref8,unknown9137 (1900),unknown9137,"{'key': 'ref8', 'DOI': '10.1016/j.cie.2019.106120', 'doi-asserted-by': 'publisher'}",1900
19190,ref9,unknown9138 (1900),unknown9138,"{'key': 'ref9', 'DOI': '10.1016/j.ijid.2020.03.020', 'doi-asserted-by': 'publisher'}",1900
19191,ref10,unknown9139 (1900),unknown9139,{'key': 'ref10'},1900
19192,ref11,unknown91310 (1900),unknown91310,{'key': 'ref11'},1900
19193,ref12,unknown91311 (1900),unknown91311,"{'key': 'ref12', 'DOI': '10.1016/j.mex.2020.100870', 'doi-asserted-by': 'publisher'}",1900
19194,ref13,unknown91312 (1900),unknown91312,"{'key': 'ref13', 'DOI': '10.1016/j.ajem.2020.03.036', 'doi-asserted-by': 'publisher'}",1900
19195,ref14,unknown91313 (1900),unknown91313,"{'key': 'ref14', 'DOI': '10.1109/MIS.2012.18', 'doi-asserted-by': 'publisher'}",1900
19196,ref15,Agrebi (2020),Agrebi,Chapter 18—Use of artificial intelligence in infectious diseases,2020
19197,ref16,unknown91315 (1900),unknown91315,{'key': 'ref16'},1900
19198,ref17,unknown91316 (1900),unknown91316,"{'key': 'ref17', 'DOI': '10.1016/j.idh.2018.10.002', 'doi-asserted-by': 'publisher'}",1900
19199,ref18,unknown91317 (1900),unknown91317,"{'key': 'ref18', 'DOI': '10.1109/MIS.2017.25', 'doi-asserted-by': 'publisher'}",1900
19200,ref19,unknown91318 (1900),unknown91318,"{'key': 'ref19', 'DOI': '10.1016/j.actatropica.2018.06.021', 'doi-asserted-by': 'publisher'}",1900
19201,ref20,unknown91319 (1900),unknown91319,{'key': 'ref20'},1900
19202,ref21,unknown91320 (1900),unknown91320,"{'key': 'ref21', 'DOI': '10.1016/j.artmed.2015.06.003', 'doi-asserted-by': 'publisher'}",1900
19203,ref22,unknown91321 (1900),unknown91321,{'key': 'ref22'},1900
19204,ref23,unknown91322 (1900),unknown91322,"{'key': 'ref23', 'DOI': '10.2807/1560-7917.ES.2020.25.10.2000180', 'doi-asserted-by': 'publisher'}",1900
19205,ref24,unknown91323 (1900),unknown91323,"{'key': 'ref24', 'DOI': '10.1007/BF00337288', 'doi-asserted-by': 'publisher'}",1900
19206,ref25,unknown91324 (1900),unknown91324,{'key': 'ref25'},1900
19207,ref26,unknown91325 (1900),unknown91325,"{'key': 'ref26', 'DOI': '10.1109/72.846731', 'doi-asserted-by': 'publisher'}",1900
19208,ref27,unparseable (1900),unparseable,unparseable,1900
19209,ref28,unknown91327 (1900),unknown91327,"{'key': 'ref28', 'DOI': '10.1109/ACCESS.2017.2671678', 'doi-asserted-by': 'publisher'}",1900
19210,10.19540/j.cnki.cjcmm.20200221.501,Wang et al (2020),"Wang L.-X., Xie Y.-M., Cheng W.-X., Zhong R., Zhuang Y.-N., Wang Q.",Analysis of adverse reactions risk signal of Xinyuan Capsules based on national ADR monitoring spontaneous reporting system [基于国家药品不良反应监测自发呈报系统的心元胶囊不良反应风险信号分析],2020
19211,10.31729/jnma.4950,Neupane et al (2020),"Neupane H.C., Shrestha N., Adhikari S., Gauli B.",Covid-19 and nepal: Identification of critical public health measure,2020
19212,10.1371/journal.pone.0234489,Baron et al (2020),"Baron J.N., Aznar M.N., Monterubbianesi M., Martínez-López B.",Application of network analysis and cluster analysis for better prevention and control of swine diseases in Argentina,2020
19213,pone.0234489.ref001,W Wint (2007),W Wint,"{'key': 'pone.0234489.ref001', 'author': 'W Wint', 'first-page': '131', 'year': '2007', 'volume-title': 'Gridded Livestock of the World 2007'}",2007
19214,pone.0234489.ref002, (1992),M.G. Echeverria,Pseudorabies (Aujetsky’z disease) in Argentina,1992
19215,pone.0234489.ref003,unparseable (1900),unparseable,unparseable,1900
19216,pone.0234489.ref004,S Ribbens (2004),S Ribbens,Transmission of Classical Swine Fever,2004
19217,pone.0234489.ref005,K Büttner (2013),K Büttner,Static Network Analysis of a Pork Supply Chain in Northern Germany–Characterisation of the Potential Spread of Infectious Diseases via Animal Movements,2013
19218,pone.0234489.ref006, (2013),K.K. Thakur,Analysis of Swine Movement in Four Candian Regions: Network Structure and Implications for Disease Spread,2013
19219,pone.0234489.ref007,A Relun (2016),A Relun,Spatial and Functional Organization of Pig Trade in Different European Production Systems: Implications for Disease Prevention and Control,2016
19220,pone.0234489.ref008,K Lee (2017),K Lee,Unraveling the Contact Patterns and Network Structure of Pig Shipments in the United States and its Association with Porcine Reproductive Syndrome Virus (PRRSV) Outbreaks,2017
19221,pone.0234489.ref009, (2017),E.A Kukielka,Modeling the Live-Pig Trade Network in Gerogia: Implications for Disease Prevention and Control,2017
19222,pone.0234489.ref010, (2016),K.L. VanderWaal,Network Analysis of Cattle Movements in Uruguay: Quantifying Heterogeneity for Risk-Based Disease Surveillance and Control,2016
19223,pone.0234489.ref011, (2011),M.N. Aznar,"Analysis of cattle movements in Argentina, 2005",2011
19224,pone.0234489.ref012, (2016),E.E. Gorsich,Mapping US Cattle Shipment Networks: Spatial and Temporal Patterns of Trade Communities from 2009 to 2011,2016
19225,pone.0234489.ref013,F Natale (2009),F Natale,Network Analysis of Italian Cattle Trade Patterns and Evaluation of Risks for Potential Disease Spread,2009
19226,pone.0234489.ref014,B Martínez-López (2009),B Martínez-López,"Combined Application of Social Network and Detection Analyses for Temporal-Spatial Characterization of Animal Movements in Salamanca, Spain",2009
19227,pone.0234489.ref015,R Core Team (2018),R Core Team,"{'key': 'pone.0234489.ref015', 'author': 'R Core Team', 'year': '2018', 'volume-title': 'R: A language and environment for statistical computing'}",2018
19228,pone.0234489.ref016,Original S code by Becker et al (1900),"Original S code by Becker R. A., Wilks A. R. R version by Brownrigg R. Enhancements by Minka T. P.,", Deckmyn A. ,1900
19229,pone.0234489.ref017,unparseable (1900),unparseable,unparseable,1900
19230,pone.0234489.ref018,Environmental Systems Research Institute (ESRI) (1900),Environmental Systems Research Institute (ESRI),. ArcGIS Desktop Help 10.6 Geostatistical Analyst.http://resources.arcgis.com/en/h.,1900
19231,pone.0234489.ref019,G Csardi (2006),G Csardi,The igraph software package for complex network research,2006
19232,pone.0234489.ref020,T Kamada (1989),T Kamada,An Algorithm for Drawing General Undirected Graphs,1989
19233,pone.0234489.ref021, (2010),T. Opsahl,Node centrality in weighted networks: Generalizing degree and shortest paths,2010
19234,pone.0234489.ref022, (1994),S. Wasserman,"{'key': 'pone.0234489.ref022', 'author': 'S. Wasserman', 'year': '1994', 'volume-title': 'Social Network Analysis: Methods and Applications', 'DOI': '10.1017/CBO9780511815478', 'doi-asserted-by': 'crossref'}",1994
19235,pone.0234489.ref023,B Martínez-López (2009),B Martínez-López,Social Network Analysis. Review of General Concepts and Use in Preventive Veterinary Medicine,2009
19236,pone.0234489.ref024,S Le (2008),S Le,FactoMineR: An R Package for Multivariate Analysis,2008
19237,pone.0234489.ref025,unparseable (1900),unparseable,unparseable,1900
19238,pone.0234489.ref026, (2006),E.A. León,"A Description of Cattle Movements in Two Departments of Buenos Aires Province, Argentina",2006
19239,pone.0234489.ref027,D Koschützki (2005),D Koschützki,"{'key': 'pone.0234489.ref027', 'author': 'D Koschützki', 'first-page': '16', 'year': '2005', 'volume-title': 'Network Analysis, LNCS', 'DOI': '10.1007/978-3-540-31955-9_3', 'doi-asserted-by': 'crossref'}",2005
19240,pone.0234489.ref028, (1951),C. H. Proctor,"{'key': 'pone.0234489.ref028', 'author': 'C. H. Proctor', 'first-page': '561', 'year': '1951', 'volume-title': 'Research Methods in Socila Relations'}",1951
19241,pone.0234489.ref029, (1977),L. C Freeman,A Set of Measures of Centrality Based Upon Betweenness,1977
19242,pone.0234489.ref030,P Bonacich (1972),P Bonacich,Factoring and Weighting Approaches to Status Scores and Clique Identification,1972
19243,pone.0234489.ref031, (1900),N. E Friedkin,Structural Cohesion and Equivalence Explanations of Social Homogeneity,1900
19244,pone.0234489.ref032,U Brandes (2005),U Brandes,"{'key': 'pone.0234489.ref032', 'author': 'U Brandes', 'first-page': '7', 'year': '2005', 'volume-title': 'Network Analysis, LNCS', 'DOI': '10.1007/978-3-540-31955-9_2', 'doi-asserted-by': 'crossref'}",2005
19245,pone.0234489.ref033, (1972),R. E Tarjan,Depth-first Search and Linear Graph Algorithms,1972
19246,10.1016/j.actatropica.2020.105446,Mbaipago N et al (2020),"Mbaipago N., Mindekem R., Madjiadinan A., Moyengar R., Oussigueré A., Naissengar K., Zinsstag J., Lechenne M.",Short communication on the use of a free rabies hotline service in Chad,2020
19247,10.1016/j.actatropica.2020.105446_bib0001,Anyiam (2016),Anyiam,Cost-estimate and proposal for a development impact bond for canine rabies elimination by mass vaccination in Chad,2016
19248,10.1016/j.actatropica.2020.105446_bib0002,Bervell (2019),Bervell,A comparative review of mobile health and electronic health utilization in sub-Saharan African countries,2019
19249,10.1016/j.actatropica.2020.105446_bib0003,De Silva (2017),De Silva,"A data platform to improve rabies prevention, Sri Lanka",2017
19250,10.1016/j.actatropica.2020.105446_bib0004,Durrheim (2002),Durrheim,Rabies post-exposure management in South Africa: a telephonic survey used as a rapid tool for operational research,2002
19251,10.1016/j.actatropica.2020.105446_bib0005,Hampson (2015),Hampson,Estimating the global burden of endemic canine rabies,2015
19252,10.1016/j.actatropica.2020.105446_bib0006,unknown9175 (2009),unknown9175,"{'key': '10.1016/j.actatropica.2020.105446_bib0006', 'year': '2009', 'series-title': ""Deuxième Recensement General De La Population Et De L'habitat""}",2009
19253,10.1016/j.actatropica.2020.105446_bib0007,unparseable (1900),unparseable,unparseable,1900
19254,10.1016/j.actatropica.2020.105446_bib0008,Jean-Richard (2014),Jean-Richard,The use of mobile phones for demographic surveillance of mobile pastoralists and their animals in Chad: proof of principle,2014
19255,10.1016/j.actatropica.2020.105446_bib0009,unparseable (1900),unparseable,unparseable,1900
19256,10.1016/j.actatropica.2020.105446_bib0010,Lechenne (2017),Lechenne,"The importance of a participatory and integrated one health approach for rabies control: the case of N'Djaména, Chad",2017
19257,10.1016/j.actatropica.2020.105446_bib0011,unparseable (1900),unparseable,unparseable,1900
19258,10.1016/j.actatropica.2020.105446_bib0012,Mbaipago (2019),Mbaipago,Rabies knowledge and practices among human and veterinary health workers in Chad,2019
19259,10.1016/j.actatropica.2020.105446_bib0013,Mbilo (2017),Mbilo,"Rabies awareness and dog ownership among rural northern and southern Chadian communities-aof a community-based, cross-sectional household survey",2017
19260,10.1016/j.actatropica.2020.105446_bib0014,Mindekem (2017),Mindekem,"Dynamique de la population canine et risque de transmission du virus de la rage dans les districts sanitaires de Laoukassy, Bénoye, Moundou et N'Djaména sud au tchad",2017
19261,10.1016/j.actatropica.2020.105446_bib0015,Mindekem (2017),Mindekem,"Evaluation des connaissances-attitudes-pratiques des populations des districts sanitaires de benoye, laoukassy, moundou et N'Djaména sud sur la rage canine au tchad",2017
19262,10.1016/j.actatropica.2020.105446_bib0016,Mtema (2016),Mtema,Mobile phones as surveillance tools: implementing and evaluating a large-scale intersectoral surveillance system for rabies inTtanzania,2016
19263,10.1016/j.actatropica.2020.105446_bib0017,unparseable (1900),unparseable,unparseable,1900
19264,10.1016/j.actatropica.2020.105446_bib0018,Tiembré (2014),Tiembré,"Connaissances, attitudes et pratiques des chefs de ménage de la commune d'Abobo (Abidjan,Ccôte d'Ivoire) en matière de rage, en 2008",2014
19265,10.1016/j.actatropica.2020.105446_bib0019,unknown91718 (2016),unknown91718,Global elimination of dog-mediated human rabies: the time is now!,2016
19266,10.1016/j.actatropica.2020.105446_bib0020,Zaidi (2013),Zaidi,Geographic variation in access to dog-bite care in Pakistan and risk of dog-bite exposure in Karachi: prospective surveillance using a low-cost mobile phone system,2013
19267,10.1016/j.actatropica.2020.105446_bib0021,Zamina (2018),Zamina,Amélioration de l'observance de la prophylaxie post-exposition par l'usage de la téléphonie mobile,2018
19268,10.1053/j.jvca.2020.01.023,van Klarenbosch J et al (2020),"van Klarenbosch J., van den Heuvel E.R., van Oeveren W., de Vries A.J.",Does Intraoperative Cell Salvage Reduce Postoperative Infection Rates in Cardiac Surgery?,2020
19269,10.1053/j.jvca.2020.01.023_bib0001,Gelijns (2014),Gelijns,Management practices and major infections after cardiac surgery,2014
19270,10.1053/j.jvca.2020.01.023_bib0002,Hajjar (2010),Hajjar,Transfusion requirements after cardiac surgery,2010
19271,10.1053/j.jvca.2020.01.023_bib0003,Lola (2011),Lola,Are there independent predisposing factors for postoperative infections following open heart surgery?,2011
19272,10.1053/j.jvca.2020.01.023_bib0004,Rohde (2014),Rohde,Health care-associated infection after red blood cell transfusion: A systematic review and meta-analysis,2014
19273,10.1053/j.jvca.2020.01.023_bib0005,Murphy (2007),Murphy,"Increased mortality, postoperative morbidity, and cost after red blood cell transfusion in patients having cardiac surgery",2007
19274,10.1053/j.jvca.2020.01.023_bib0006,Klein (2008),Klein,A randomized controlled trial of cell salvage in routine cardiac surgery,2008
19275,10.1053/j.jvca.2020.01.023_bib0007,Vermeijden (2015),Vermeijden,Effects of cell-saving devices and filters on transfusion in cardiac surgery: A multicenter randomized study,2015
19276,10.1053/j.jvca.2020.01.023_bib0008,Wang (2009),Wang,The efficacy of an intraoperative cell saver during cardiac surgery: A meta-analysis of randomized trials,2009
19277,10.1053/j.jvca.2020.01.023_bib0009,Carless (2010),Carless,Cell salvage for minimizing perioperative allogeneic blood transfusion,2010
19278,10.1053/j.jvca.2020.01.023_bib0010,Baron (1986),Baron,"The moderator-mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations",1986
19279,10.1053/j.jvca.2020.01.023_bib0011,Horan (2008),Horan,CDC/NHSN surveillance definition of health care-associated infection and criteria for specific types of infections in the acute care setting,2008
19280,10.1053/j.jvca.2020.01.023_bib0012,Djaiani (2007),Djaiani,Continuous-flow cell saver reduces cognitive decline in elderly patients after coronary bypass surgery,2007
19281,10.1053/j.jvca.2020.01.023_bib0013,Boodhwani (2008),Boodhwani,"on behalf of the Cardiotomy Investigators. Effects of shed mediastinal blood on cardiovascular and pulmonary function: A randomized, double-blind study",2008
19282,10.1053/j.jvca.2020.01.023_bib0014,McGill (2002),McGill,Mechanical methods of reducing blood transfusion: A randomized controlled trial,2002
19283,10.1053/j.jvca.2020.01.023_bib0015,Murphy (2004),Murphy,Safety and efficacy of perioperative cell salvage and autotransfusion after coronary artery bypass grafting: A randomized trial,2004
19284,10.1053/j.jvca.2020.01.023_bib0016,Ad (2015),Ad,Effect of patient age on blood product transfusion after cardiac surgery,2015
19285,10.1053/j.jvca.2020.01.023_bib0017,Robich (2015),Robich,Prolonged effect of postoperative infectious complications on survival after cardiac surgery,2015
19286,10.1053/j.jvca.2020.01.023_bib0018,Williams (2011),Williams,Is female sex an independent risk factor for perioperative transfusion in coronary artery bypass graft surgery?,2011
19287,10.1053/j.jvca.2020.01.023_bib0019,Scott (2003),Scott,"Blood use in patients undergoing coronary artery bypass surgery: Impact of cardiopulmonary bypass pump, hematocrit, gender, age, and body weight",2003
19288,10.1053/j.jvca.2020.01.023_bib0020,Fowler (2005),Fowler,Clinical predictors of major infections after cardiac surgery,2005
19289,10.1053/j.jvca.2020.01.023_bib0021,Seyfried (2017),Seyfried,"The impact of bowl size, program setup, and blood hematocrit on the performance of a discontinuous autotransfusion system",2017
19290,10.1053/j.jvca.2020.01.023_bib0022,Tang (2002),Tang,Antimicrobial peptides from human platelets,2002
19291,10.1053/j.jvca.2020.01.023_bib0023,Drago (2013),Drago,Antimicrobial activity of pure platelet-rich plasma against microorganisms isolated from oral cavity,2013
19292,10.1053/j.jvca.2020.01.023_bib0024,Damgaard (2010),Damgaard,Cell Saver for on-pump coronary operations reduces systemic inflammatory markers: A randomized trial,2010
19293,10.1053/j.jvca.2020.01.023_bib0025,Amand (2002),Amand,Levels of inflammatory markers in the blood processed by autotransfusion devices during cardiac surgery associated with cardiopulmonary bypass circuit,2002
19294,10.1053/j.jvca.2020.01.023_bib0026,McGuiness (2008),McGuiness,Understanding the inflammatory response to cardiac surgery,2008
19295,10.1053/j.jvca.2020.01.023_bib0027,Bland (1992),Bland,Bacteriologic and endotoxin analysis of salvaged blood used in autologous transfusions during cardiac operations,1992
19296,10.1053/j.jvca.2020.01.023_bib0028,Feltracco (2007),Feltracco,Microbiologic contamination of intraoperative blood salvaged during liver transplantation,2007
19297,10.1371/journal.pntd.0008398,Yoshioka K et al (2020),"Yoshioka K., Manne-Goehler J., Maguire J.H., Reich M.R.",Access to chagas disease treatment in the united states after the regulatory approval of benznidazole,2020
19298,pntd.0008398.ref001,C Bern (2009),C Bern,An estimate of the burden of Chagas disease in the United States,2009
19299,pntd.0008398.ref002,J Manne-Goehler (2016),J Manne-Goehler,Estimating the Burden of Chagas Disease in the United States,2016
19300,pntd.0008398.ref003,S Meymandi (2017),S Meymandi,Prevalence of Chagas Disease in the Latin American–born Population of Los Angeles,2017
19301,pntd.0008398.ref004,BY Lee (2013),BY Lee,Global economic burden of Chagas disease: a computational simulation model,2013
19302,pntd.0008398.ref005,C Bern (2015),C Bern,Chagas’ Disease,2015
19303,pntd.0008398.ref006,C Bern (2007),C Bern,Evaluation and treatment of Chagas disease in the United States: a systematic review,2007
19304,pntd.0008398.ref007,L Murcia (2017),L Murcia,Treatment of Infected Women of Childbearing Age Prevents Congenital Trypanosoma cruzi Infection by Eliminating the Parasitemia Detected by PCR,2017
19305,pntd.0008398.ref008,C Crespillo-Andújar (2018),C Crespillo-Andújar,Safety Profile of Benznidazole in the Treatment of Chronic Chagas Disease: Experience of a Referral Centre and Systematic Literature Review with Meta-Analysis,2018
19306,pntd.0008398.ref009,BL Herwaldt (2018),BL Herwaldt,"Characteristics of Patients for Whom Benznidazole Was Released Through the CDC-Sponsored Investigational New Drug Program for Treatment of Chagas Disease—United States, 2011–2018",2018
19307,pntd.0008398.ref010,J Manne-Goehler (2015),J Manne-Goehler,Access to Care for Chagas Disease in the United States: A Health Systems Analysis,2015
19308,pntd.0008398.ref011,unparseable (1900),unparseable,unparseable,1900
19309,pntd.0008398.ref012,unparseable (1900),unparseable,unparseable,1900
19310,pntd.0008398.ref013,unparseable (1900),unparseable,unparseable,1900
19311,pntd.0008398.ref014,T Sunyoto (2018),T Sunyoto,Why miltefosine—a life-saving drug for leishmaniasis—is unavailable to people who need it the most,2018
19312,pntd.0008398.ref015,LJ Frost (2008),LJ Frost,"{'key': 'pntd.0008398.ref015', 'author': 'LJ Frost', 'year': '2008', 'volume-title': 'Access: how do good health technologies get to poor people in poor countries?'}",2008
19313,pntd.0008398.ref016,T Sunyoto (2019),T Sunyoto,Exploring global and country-level barriers to an effective supply of leishmaniasis medicines and diagnostics in eastern Africa: a qualitative study,2019
19314,pntd.0008398.ref017,HL Storey (2019),HL Storey,Formative research to inform development of a new diagnostic for soil-transmitted helminths: Going beyond the laboratory to ensure access to a needed product,2019
19315,pntd.0008398.ref018,CJ Forsyth (2019),CJ Forsyth,Current Gaps and Needs for Increasing Access to Healthcare for People with Chagas Disease in the USA,2019
19316,pntd.0008398.ref019,unparseable (1900),unparseable,unparseable,1900
19317,pntd.0008398.ref020,S Meymandi (2018),S Meymandi,Treatment of Chagas Disease in the United States,2018
19318,pntd.0008398.ref021,MS Edwards (1900),MS Edwards,Evaluation and Management of Congenital Chagas Disease in the United States,1900
19319,pntd.0008398.ref022,PG Shekelle (2018),PG Shekelle,Clinical Practice Guidelines: What’s Next?,2018
19320,pntd.0008398.ref023,KK Stimpert (2010),KK Stimpert,"Physician Awareness of Chagas Disease, USA",2010
19321,pntd.0008398.ref024,JR Verani (2010),JR Verani,Survey of Obstetrician-Gynecologists in the United States About Chagas Disease,2010
19322,pntd.0008398.ref025,S Amstutz-Szalay (2017),S Amstutz-Szalay,Physician Knowledge of Chagas Disease in Hispanic Immigrants Living in Appalachian Ohio,2017
19323,pntd.0008398.ref026,MS Edwards (2018),MS Edwards,Survey of Pediatric Infectious Diseases Society Members About Congenital Chagas Disease,2018
19324,pntd.0008398.ref027,CJ Forsyth (2018),CJ Forsyth,“It’s Like a Phantom Disease”: Patient Perspectives on Access to Treatment for Chagas Disease in the United States,2018
19325,pntd.0008398.ref028,SD Kowitt (2019),SD Kowitt,Peer support opportunities across the cancer care continuum: a systematic scoping review of recent peer-reviewed literature,2019
19326,pntd.0008398.ref029,JD Alpern (2017),JD Alpern,Access to benznidazole for Chagas disease in the United States—Cautious optimism?,2017
19327,pntd.0008398.ref030,unparseable (1900),unparseable,unparseable,1900
19328,pntd.0008398.ref031,unparseable (1900),unparseable,unparseable,1900
19329,pntd.0008398.ref032,unparseable (1900),unparseable,unparseable,1900
19330,pntd.0008398.ref033,JD Whitman (2019),JD Whitman,Chagas disease serological test performance in United States blood donor specimens,2019
19331,10.3201/eid2607.200574,Lin C et al (2020),"Lin C., Braund W.E., Auerbach J., Chou J.-H., Teng J.-H., Tu P., Mullen J.","POLICY REVIEW Policy Decisions and Use of Information Technology to Fight COVID-19, Taiwan",2020
19332,key-10.3201/eid2607.200574-202006161500-R1,unparseable (1900),unparseable,unparseable,1900
19333,key-10.3201/eid2607.200574-202006161500-R2,unparseable (1900),unparseable,unparseable,1900
19334,key-10.3201/eid2607.200574-202006161500-R3,unparseable (1900),unparseable,unparseable,1900
19335,key-10.3201/eid2607.200574-202006161500-R4,unparseable (1900),unparseable,unparseable,1900
19336,key-10.3201/eid2607.200574-202006161500-R5,Holshue (2020),Holshue,Washington State 2019-nCoV Case Investigation Team. First case of 2019 novel coronavirus in the United States.,2020
19337,key-10.3201/eid2607.200574-202006161500-R6,unparseable (1900),unparseable,unparseable,1900
19338,key-10.3201/eid2607.200574-202006161500-R7,unparseable (1900),unparseable,unparseable,1900
19339,key-10.3201/eid2607.200574-202006161500-R8,unparseable (1900),unparseable,unparseable,1900
19340,key-10.3201/eid2607.200574-202006161500-R9,unparseable (1900),unparseable,unparseable,1900
19341,key-10.3201/eid2607.200574-202006161500-R10,unparseable (1900),unparseable,unparseable,1900
19342,key-10.3201/eid2607.200574-202006161500-R11,Syed (2003),Syed,Behind the mask. Journey through an epidemic: some observations of contrasting public health responses to SARS.,2003
19343,key-10.3201/eid2607.200574-202006161500-R12,unparseable (1900),unparseable,unparseable,1900
19344,key-10.3201/eid2607.200574-202006161500-R13,unparseable (1900),unparseable,unparseable,1900
